date,domain,source_ip,status
2024-04-18 19:08:54,,39.109.154.159,ALLOW
2024-04-18 19:08:55,,162.159.135.234,ALLOW
2024-04-18 19:08:57,,52.178.17.234,ALLOW
2024-04-18 19:09:00,,216.58.200.234,ALLOW
2024-04-18 19:09:02,,20.213.196.214,ALLOW
2024-04-18 19:09:06,,20.189.173.17,ALLOW
2024-04-18 19:09:11,,37.48.89.208,ALLOW
2024-04-18 19:09:14,,159.180.249.19,ALLOW
2024-04-18 19:09:22,,195.206.105.227,ALLOW
2024-04-18 19:09:26,,3.230.137.88,ALLOW
2024-04-18 19:09:27,,52.20.116.150,ALLOW
2024-04-18 19:09:30,,185.21.217.16,ALLOW
2024-04-18 19:09:34,,20.189.173.9,ALLOW
2024-04-18 19:09:44,,222.127.68.181,ALLOW
2024-04-18 19:09:45,,203.176.133.182,ALLOW
2024-04-18 19:09:46,,46.249.171.155,ALLOW
2024-04-18 19:09:48,,197.248.76.46,ALLOW
2024-04-18 19:09:48,,35.186.227.140,ALLOW
2024-04-18 19:09:49,,204.93.149.164,ALLOW
2024-04-18 19:09:49,,191.96.150.70,ALLOW
2024-04-18 19:09:49,,191.96.150.83,ALLOW
2024-04-18 19:09:51,,77.137.71.210,ALLOW
2024-04-18 19:09:51,,77.137.65.122,ALLOW
2024-04-18 19:09:52,,172.217.24.234,ALLOW
2024-04-18 19:10:05,,192.252.213.74,ALLOW
2024-04-18 19:10:06,,23.202.34.121,ALLOW
2024-04-18 19:10:07,,66.51.166.2,ALLOW
2024-04-18 19:10:13,,20.37.198.118,ALLOW
2024-04-18 19:10:16,,41.174.94.247,ALLOW
2024-04-18 19:10:22,,118.240.168.195,ALLOW
2024-04-18 19:10:29,,95.165.130.94,ALLOW
2024-04-18 19:10:30,,185.230.4.150,ALLOW
2024-04-18 19:10:31,,185.21.217.48,ALLOW
2024-04-18 19:10:35,,34.110.207.168,ALLOW
2024-04-18 19:10:48,,102.165.16.35,ALLOW
2024-04-18 19:10:49,,191.96.37.179,ALLOW
2024-04-18 19:10:53,,20.189.173.2,ALLOW
2024-04-18 19:10:55,,94.21.153.171,ALLOW
2024-04-18 19:10:55,,89.149.202.17,ALLOW
2024-04-18 19:14:40,,54.192.18.113,ALLOW
2024-04-18 19:14:45,,168.121.85.210,ALLOW
2024-04-22 09:36:38,,65.9.181.75,ALLOW
2024-04-22 09:36:41,,142.251.10.102,ALLOW
2024-04-22 09:36:41,,142.251.12.95,ALLOW
2024-04-22 09:36:44,,52.111.232.50,ALLOW
2024-04-22 09:36:44,,20.213.196.212,ALLOW
2024-04-22 09:36:45,,102.40.71.1,ALLOW
2024-04-22 09:36:46,,185.199.109.154,ALLOW
2024-04-22 09:36:46,,185.199.110.154,ALLOW
2024-04-22 09:36:47,,185.199.109.133,ALLOW
2024-04-22 09:36:49,,18.172.193.211,ALLOW
2024-04-22 09:36:49,,36.228.238.12,ALLOW
2024-04-22 09:36:50,,13.64.73.29,ALLOW
2024-04-22 09:36:51,,104.26.13.186,ALLOW
2024-04-22 09:36:51,,172.217.27.36,ALLOW
2024-04-22 09:36:55,,172.98.80.68,ALLOW
2024-04-22 09:36:56,,23.33.184.243,ALLOW
2024-04-22 09:36:57,,54.192.18.10,ALLOW
2024-04-22 09:36:57,,151.101.1.91,ALLOW
2024-04-22 09:36:57,,151.101.0.176,ALLOW
2024-04-22 09:36:58,,89.149.15.89,ALLOW
2024-04-22 09:36:58,,138.199.10.8,ALLOW
2024-04-22 09:36:58,,89.248.170.21,ALLOW
2024-04-22 09:36:58,,151.101.129.91,ALLOW
2024-04-22 09:36:59,,3.220.191.205,ALLOW
2024-04-22 09:37:01,,54.192.18.58,ALLOW
2024-04-22 09:37:03,,52.111.232.4,ALLOW
2024-04-22 09:37:11,,151.101.193.91,ALLOW
2024-04-22 12:00:09,,162.159.130.234,ALLOW
2024-04-22 12:00:12,,34.203.113.235,ALLOW
2024-04-22 12:00:19,,18.172.202.105,ALLOW
2024-04-22 12:00:22,,52.182.143.209,ALLOW
2024-04-22 12:00:31,,13.224.163.73,ALLOW
2024-04-22 12:00:34,,18.214.177.183,ALLOW
2024-04-22 12:00:35,,54.83.35.142,ALLOW
2024-04-22 12:00:36,,181.214.153.47,ALLOW
2024-04-22 12:00:38,,80.82.77.12,ALLOW
2024-04-22 12:00:38,,172.217.24.74,ALLOW
2024-04-22 12:00:39,,13.225.96.217,ALLOW
2024-04-22 12:00:44,,140.82.113.26,ALLOW
2024-04-22 12:00:53,,91.108.56.110,ALLOW
2024-04-22 12:00:56,,93.174.93.20,ALLOW
2024-04-22 12:00:58,,20.90.153.243,ALLOW
2024-04-22 12:05:34,,40.74.79.222,ALLOW
2024-04-22 12:05:35,,52.182.143.215,ALLOW
2024-04-22 12:05:38,,142.251.222.202,ALLOW
2024-04-22 12:05:53,,20.42.65.85,ALLOW
2024-04-22 12:05:59,,20.189.173.6,ALLOW
2024-04-22 12:06:09,,51.11.168.232,ALLOW
2024-04-22 12:06:12,,44.194.172.142,ALLOW
2024-04-22 12:06:15,,41.60.253.66,ALLOW
2024-04-22 12:06:22,,20.231.121.79,ALLOW
2024-04-22 12:06:34,,38.96.206.64,ALLOW
2024-04-22 12:06:53,,142.250.66.110,ALLOW
